"FullName","Length","IsEmpty","LastWriteTime"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\nanoid.cmd","326","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\nanoid.ps1","809","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\napi-postinstall","403","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\napi-postinstall.cmd","332","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\napi-postinstall.ps1","833","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\next","385","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\next.cmd","323","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\next.ps1","797","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\node-which","389","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\node-which.cmd","325","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\node-which.ps1","805","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\resolve","387","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\resolve.cmd","324","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\resolve.ps1","801","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\rimraf","375","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\rimraf.cmd","318","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\rimraf.ps1","777","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\semver","389","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\semver.cmd","325","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\semver.ps1","805","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\sucrase","387","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\sucrase-node","397","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\sucrase-node.cmd","329","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\sucrase-node.ps1","821","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\sucrase.cmd","324","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\sucrase.ps1","801","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tailwind","393","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tailwind.cmd","327","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tailwind.ps1","813","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tailwindcss","393","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tailwindcss.cmd","327","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tailwindcss.ps1","813","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tsc","385","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tsc.cmd","323","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tsc.ps1","797","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tsserver","395","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tsserver.cmd","328","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\tsserver.ps1","817","False","1/28/2026 5:44:59 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\xlsx","383","False","1/28/2026 7:03:00 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\xlsx.cmd","322","False","1/28/2026 7:03:00 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\xlsx.ps1","793","False","1/28/2026 7:03:00 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.package-lock.json","196307","False","1/28/2026 7:03:00 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@alloc\quick-lru\index.d.ts","3236","False","1/28/2026 5:44:36 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@alloc\quick-lru\index.js","5347","False","1/28/2026 5:44:35 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@alloc\quick-lru\license","1109","False","1/28/2026 5:44:34 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@alloc\quick-lru\package.json","747","False","1/28/2026 5:44:35 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@alloc\quick-lru\readme.md","3660","False","1/28/2026 5:44:35 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\eslint-utils\index.d.mts","9832","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\eslint-utils\index.d.ts","9832","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\eslint-utils\index.js","88365","False","1/28/2026 5:44:35 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\eslint-utils\index.js.map","152486","False","1/28/2026 5:44:36 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\eslint-utils\index.mjs","87240","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\eslint-utils\index.mjs.map","152426","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\eslint-utils\LICENSE","1071","False","1/28/2026 5:44:34 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\eslint-utils\package.json","3064","False","1/28/2026 5:44:35 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\eslint-utils\README.md","1684","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\regexpp\index.d.ts","37807","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\regexpp\index.js","109704","False","1/28/2026 5:44:35 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\regexpp\index.js.map","103754","False","1/28/2026 5:44:36 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\regexpp\index.mjs","109467","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\regexpp\index.mjs.map","103745","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\regexpp\LICENSE","1071","False","1/28/2026 5:44:34 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\regexpp\package.json","2783","False","1/28/2026 5:44:35 PM"
